[2026-07-06T18:03:01]   Skipping AstronomyNow (News) — next fetch in ~905m
[2026-07-06T21:43:51]   Skipping Raytheon — next fetch in ~674m
[2026-07-06T21:43:51]   Skipping Netherlands — next fetch in ~674m
[2026-07-06T21:43:51]   Skipping Estonia — next fetch in ~674m
[2026-07-06T21:43:51]   Skipping UK — next fetch in ~674m
[2026-07-06T21:43:51]   Skipping Lithuania — next fetch in ~674m
[2026-07-06T21:43:52]   Skipping Sweden — next fetch in ~674m
[2026-07-06T21:43:52]   Skipping Serbia — next fetch in ~679m
[2026-07-06T21:43:52]   Skipping Slovakia — next fetch in ~679m
[2026-07-06T21:43:52]   Skipping EU Commision — next fetch in ~679m
[2026-07-06T21:43:52]   Skipping Germany — next fetch in ~679m
[2026-07-06T21:43:52]   Skipping UK MOD — next fetch in ~679m
[2026-07-06T21:43:52]   Skipping Australia ABC News — next fetch in ~684m
[2026-07-06T21:43:52]   Skipping Falkland Islands — next fetch in ~4283m
[2026-07-06T21:43:52]   Skipping Nasa — next fetch in ~684m
[2026-07-06T21:43:53]   Skipping ESA — next fetch in ~684m
[2026-07-06T21:43:53]   Skipping AstronomyNow (News) — next fetch in ~684m
[2026-07-06T21:43:53]   Skipping SpaceNews (News) — next fetch in ~684m
[2026-07-06T21:43:53]   Skipping TechCrunch — next fetch in ~684m
[2026-07-06T21:49:52]   Skipping Pakistan Recorder — next fetch in ~666m
[2026-07-06T21:49:52]   Skipping India - The Hindu — next fetch in ~667m
[2026-07-06T21:49:52]   Skipping FT - China Economy — next fetch in ~668m
[2026-07-06T21:49:52]   Skipping China Economic Review — next fetch in ~669m
[2026-07-06T21:49:52]   Skipping The Liberty Times — next fetch in ~676m
[2026-07-06T21:49:52]   Skipping FT Global Trade — next fetch in ~666m
[2026-07-06T21:49:52]   Skipping Global Trade Magazine — next fetch in ~666m
[2026-07-06T21:49:52]   Skipping The Conversation - Trade — next fetch in ~666m
[2026-07-06T21:49:52]   Skipping DefenceNews — next fetch in ~666m
[2026-07-06T21:49:53]   Skipping DefenceIQ-MarketResearch — next fetch in ~666m
[2026-07-06T21:49:53]   Skipping DefenceIQ-Reports — next fetch in ~667m
[2026-07-06T21:49:53]   Skipping DefenceIQ-AirDefence — next fetch in ~667m
[2026-07-06T21:49:53]   Skipping DefenceTalk-AirDefence — next fetch in ~667m
[2026-07-06T21:49:53]   Skipping DefenceIQ-Articles — next fetch in ~667m
[2026-07-06T21:49:53]   Skipping JanesNews — next fetch in ~667m
[2026-07-06T21:49:53]   Skipping Raytheon — next fetch in ~668m
[2026-07-06T21:49:53]   Skipping Netherlands — next fetch in ~668m
[2026-07-06T21:49:53]   Skipping Estonia — next fetch in ~668m
[2026-07-06T21:49:53]   Skipping UK — next fetch in ~668m
[2026-07-06T21:49:54]   Skipping Lithuania — next fetch in ~668m
[2026-07-06T21:49:54]   Skipping Sweden — next fetch in ~668m
[2026-07-06T21:49:54]   Skipping Serbia — next fetch in ~673m
[2026-07-06T21:49:54]   Skipping Slovakia — next fetch in ~673m
[2026-07-06T21:49:54]   Skipping EU Commision — next fetch in ~673m
[2026-07-06T21:49:54]   Skipping Germany — next fetch in ~673m
[2026-07-06T21:49:54]   Skipping UN Global News — next fetch in ~673m
[2026-07-06T21:49:54]   Skipping BBC World News — next fetch in ~673m
[2026-07-06T21:49:54]   Skipping Sky News World — next fetch in ~673m
[2026-07-06T21:49:54]   Skipping UK MOD — next fetch in ~673m
[2026-07-06T21:49:55]   Skipping Australia ABC News — next fetch in ~678m
[2026-07-06T21:49:55]   Skipping Falkland Islands — next fetch in ~4277m
[2026-07-06T21:49:55]   Skipping Nasa — next fetch in ~678m
[2026-07-06T21:49:55]   Skipping ESA — next fetch in ~678m
[2026-07-06T21:49:55]   Skipping AstronomyNow (News) — next fetch in ~678m
[2026-07-06T21:49:55]   Skipping SpaceNews (News) — next fetch in ~678m
[2026-07-06T21:49:55]   Skipping TechCrunch — next fetch in ~678m
[2026-07-06T21:50:01]   Skipping Pakistan Recorder — next fetch in ~666m
[2026-07-06T21:50:01]   Skipping India - The Hindu — next fetch in ~667m
[2026-07-06T21:50:02]   Skipping FT - China Economy — next fetch in ~668m
[2026-07-06T21:50:02]   Skipping China Economic Review — next fetch in ~669m
[2026-07-06T21:50:02]   Skipping The Liberty Times — next fetch in ~676m
[2026-07-06T21:50:02]   Skipping FT Global Trade — next fetch in ~666m
[2026-07-06T21:50:02]   Skipping Global Trade Magazine — next fetch in ~666m
[2026-07-06T21:50:02]   Skipping The Conversation - Trade — next fetch in ~666m
[2026-07-06T21:50:02]   Skipping DefenceNews — next fetch in ~666m
[2026-07-06T21:50:02]   Skipping DefenceIQ-MarketResearch — next fetch in ~666m
[2026-07-06T21:50:02]   Skipping DefenceIQ-Reports — next fetch in ~667m
[2026-07-06T21:50:03]   Skipping DefenceIQ-AirDefence — next fetch in ~667m
[2026-07-06T21:50:03]   Skipping DefenceTalk-AirDefence — next fetch in ~667m
[2026-07-06T21:50:03]   Skipping DefenceIQ-Articles — next fetch in ~667m
[2026-07-06T21:50:03]   Skipping JanesNews — next fetch in ~667m
[2026-07-06T21:50:03]   Skipping Raytheon — next fetch in ~668m
[2026-07-06T21:50:03]   Skipping Netherlands — next fetch in ~668m
[2026-07-06T21:50:03]   Skipping Estonia — next fetch in ~668m
[2026-07-06T21:50:03]   Skipping UK — next fetch in ~668m
[2026-07-06T21:50:03]   Skipping Lithuania — next fetch in ~668m
[2026-07-06T21:50:03]   Skipping Sweden — next fetch in ~668m
[2026-07-06T21:50:04]   Skipping Serbia — next fetch in ~672m
[2026-07-06T21:50:04]   Skipping Slovakia — next fetch in ~672m
[2026-07-06T21:50:04]   Skipping EU Commision — next fetch in ~672m
[2026-07-06T21:50:04]   Skipping Germany — next fetch in ~673m
[2026-07-06T21:50:04]   Skipping UN Global News — next fetch in ~673m
[2026-07-06T21:50:04]   Skipping BBC World News — next fetch in ~673m
[2026-07-06T21:50:04]   Skipping Sky News World — next fetch in ~673m
[2026-07-06T21:50:04]   Skipping UK MOD — next fetch in ~673m
[2026-07-06T21:50:04]   Skipping Australia ABC News — next fetch in ~678m
[2026-07-06T21:50:04]   Skipping Falkland Islands — next fetch in ~4277m
[2026-07-06T21:50:05]   Skipping Nasa — next fetch in ~678m
[2026-07-06T21:50:05]   Skipping ESA — next fetch in ~678m
[2026-07-06T21:50:05]   Skipping AstronomyNow (News) — next fetch in ~678m
[2026-07-06T21:50:05]   Skipping SpaceNews (News) — next fetch in ~678m
[2026-07-06T21:50:05]   Skipping TechCrunch — next fetch in ~678m
[2026-07-06T21:50:09]   Skipping Pakistan Recorder — next fetch in ~666m
[2026-07-06T21:50:09]   Skipping India - The Hindu — next fetch in ~667m
[2026-07-06T21:50:10]   Skipping FT - China Economy — next fetch in ~668m
[2026-07-06T21:50:10]   Skipping China Economic Review — next fetch in ~669m
[2026-07-06T21:50:10]   Skipping The Liberty Times — next fetch in ~676m
[2026-07-06T21:50:10]   Skipping FT Global Trade — next fetch in ~666m
[2026-07-06T21:50:10]   Skipping Global Trade Magazine — next fetch in ~666m
[2026-07-06T21:50:10]   Skipping The Conversation - Trade — next fetch in ~666m
[2026-07-06T21:50:10]   Skipping DefenceNews — next fetch in ~666m
[2026-07-06T21:50:10]   Skipping DefenceIQ-MarketResearch — next fetch in ~666m
[2026-07-06T21:50:10]   Skipping DefenceIQ-Reports — next fetch in ~666m
[2026-07-06T21:50:10]   Skipping DefenceIQ-AirDefence — next fetch in ~667m
[2026-07-06T21:50:11]   Skipping DefenceTalk-AirDefence — next fetch in ~667m
[2026-07-06T21:50:11]   Skipping DefenceIQ-Articles — next fetch in ~667m
[2026-07-06T21:50:11]   Skipping JanesNews — next fetch in ~667m
[2026-07-06T21:50:11]   Skipping Raytheon — next fetch in ~668m
[2026-07-06T21:50:11]   Skipping Netherlands — next fetch in ~668m
[2026-07-06T21:50:11]   Skipping Estonia — next fetch in ~668m
[2026-07-06T21:50:11]   Skipping UK — next fetch in ~668m
[2026-07-06T21:50:11]   Skipping Lithuania — next fetch in ~668m
[2026-07-06T21:50:11]   Skipping Sweden — next fetch in ~668m
[2026-07-06T21:50:11]   Skipping Serbia — next fetch in ~672m
[2026-07-06T21:50:12]   Skipping Slovakia — next fetch in ~672m
[2026-07-06T21:50:12]   Skipping EU Commision — next fetch in ~672m
[2026-07-06T21:50:12]   Skipping Germany — next fetch in ~672m
[2026-07-06T21:50:12]   Skipping UN Global News — next fetch in ~673m
[2026-07-06T21:50:12]   Skipping BBC World News — next fetch in ~673m
[2026-07-06T21:50:12]   Skipping Sky News World — next fetch in ~673m
[2026-07-06T21:50:12]   Skipping UK MOD — next fetch in ~673m
[2026-07-06T21:50:12]   Skipping Australia ABC News — next fetch in ~677m
[2026-07-06T21:50:12]   Skipping Falkland Islands — next fetch in ~4277m
[2026-07-06T21:50:12]   Skipping Nasa — next fetch in ~677m
[2026-07-06T21:50:13]   Skipping ESA — next fetch in ~677m
[2026-07-06T21:50:13]   Skipping AstronomyNow (News) — next fetch in ~677m
[2026-07-06T21:50:13]   Skipping SpaceNews (News) — next fetch in ~677m
[2026-07-06T21:50:13]   Skipping TechCrunch — next fetch in ~678m
[2026-07-06T21:50:40]   Skipping Pakistan Recorder — next fetch in ~665m
[2026-07-06T21:50:40]   Skipping India - The Hindu — next fetch in ~666m
[2026-07-06T21:50:40]   Skipping FT - China Economy — next fetch in ~667m
[2026-07-06T21:50:40]   Skipping China Economic Review — next fetch in ~668m
[2026-07-06T21:50:40]   Skipping The Liberty Times — next fetch in ~675m
[2026-07-06T21:50:40]   Skipping FT Global Trade — next fetch in ~665m
[2026-07-06T21:50:41]   Skipping Global Trade Magazine — next fetch in ~665m
[2026-07-06T21:50:41]   Skipping The Conversation - Trade — next fetch in ~665m
[2026-07-06T21:50:41]   Skipping DefenceNews — next fetch in ~666m
[2026-07-06T21:50:41]   Skipping DefenceIQ-MarketResearch — next fetch in ~666m
[2026-07-06T21:50:41]   Skipping DefenceIQ-Reports — next fetch in ~666m
[2026-07-06T21:50:41]   Skipping DefenceIQ-AirDefence — next fetch in ~666m
[2026-07-06T21:50:41]   Skipping DefenceTalk-AirDefence — next fetch in ~666m
[2026-07-06T21:50:41]   Skipping DefenceIQ-Articles — next fetch in ~666m
[2026-07-06T21:50:41]   Skipping JanesNews — next fetch in ~666m
[2026-07-06T21:50:41]   Skipping Raytheon — next fetch in ~667m
[2026-07-06T21:50:42]   Skipping Netherlands — next fetch in ~667m
[2026-07-06T21:50:42]   Skipping Estonia — next fetch in ~667m
[2026-07-06T21:50:42]   Skipping UK — next fetch in ~667m
[2026-07-06T21:50:42]   Skipping Lithuania — next fetch in ~667m
[2026-07-06T21:50:42]   Skipping Sweden — next fetch in ~667m
[2026-07-06T21:50:42]   Skipping Serbia — next fetch in ~672m
[2026-07-06T21:50:42]   Skipping Slovakia — next fetch in ~672m
[2026-07-06T21:50:42]   Skipping EU Commision — next fetch in ~672m
[2026-07-06T21:50:42]   Skipping Germany — next fetch in ~672m
[2026-07-06T21:50:42]   Skipping UN Global News — next fetch in ~672m
[2026-07-06T21:50:43]   Skipping BBC World News — next fetch in ~672m
[2026-07-06T21:50:43]   Skipping Sky News World — next fetch in ~672m
[2026-07-06T21:50:43]   Skipping UK MOD — next fetch in ~672m
[2026-07-06T21:50:43]   Skipping Australia ABC News — next fetch in ~677m
[2026-07-06T21:50:43]   Skipping Falkland Islands — next fetch in ~4276m
[2026-07-06T21:50:43]   Skipping Nasa — next fetch in ~677m
[2026-07-06T21:50:43]   Skipping ESA — next fetch in ~677m
[2026-07-06T21:50:43]   Skipping AstronomyNow (News) — next fetch in ~677m
[2026-07-06T21:50:43]   Skipping SpaceNews (News) — next fetch in ~677m
[2026-07-06T21:50:43]   Skipping TechCrunch — next fetch in ~677m
[2026-07-06T21:51:18]   Skipping Pakistan Recorder — next fetch in ~665m
[2026-07-06T21:51:18]   Skipping India - The Hindu — next fetch in ~666m
[2026-07-06T21:51:18]   Skipping FT - China Economy — next fetch in ~667m
[2026-07-06T21:51:18]   Skipping China Economic Review — next fetch in ~668m
[2026-07-06T21:51:18]   Skipping The Liberty Times — next fetch in ~674m
[2026-07-06T21:51:19]   Skipping FT Global Trade — next fetch in ~664m
[2026-07-06T21:51:19]   Skipping Global Trade Magazine — next fetch in ~665m
[2026-07-06T21:51:19]   Skipping The Conversation - Trade — next fetch in ~665m
[2026-07-06T21:51:19]   Skipping DefenceNews — next fetch in ~665m
[2026-07-06T21:51:19]   Skipping DefenceIQ-MarketResearch — next fetch in ~665m
[2026-07-06T21:51:19]   Skipping DefenceIQ-Reports — next fetch in ~665m
[2026-07-06T21:51:19]   Skipping DefenceIQ-AirDefence — next fetch in ~665m
[2026-07-06T21:51:19]   Skipping DefenceTalk-AirDefence — next fetch in ~665m
[2026-07-06T21:51:19]   Skipping DefenceIQ-Articles — next fetch in ~666m
[2026-07-06T21:51:19]   Skipping JanesNews — next fetch in ~666m
[2026-07-06T21:51:19]   Skipping Raytheon — next fetch in ~667m
[2026-07-06T21:51:20]   Skipping Netherlands — next fetch in ~667m
[2026-07-06T21:51:20]   Skipping Estonia — next fetch in ~667m
[2026-07-06T21:51:20]   Skipping UK — next fetch in ~667m
[2026-07-06T21:51:20]   Skipping Lithuania — next fetch in ~667m
[2026-07-06T21:51:20]   Skipping Sweden — next fetch in ~667m
[2026-07-06T21:51:20]   Skipping Serbia — next fetch in ~671m
[2026-07-06T21:51:20]   Skipping Slovakia — next fetch in ~671m
[2026-07-06T21:51:20]   Skipping EU Commision — next fetch in ~671m
[2026-07-06T21:51:20]   Skipping Germany — next fetch in ~671m
[2026-07-06T21:51:20]   Skipping UN Global News — next fetch in ~672m
[2026-07-06T21:51:21]   Skipping BBC World News — next fetch in ~672m
[2026-07-06T21:51:21]   Skipping Sky News World — next fetch in ~672m
[2026-07-06T21:51:21]   Skipping UK MOD — next fetch in ~672m
[2026-07-06T21:51:21]   Skipping Australia ABC News — next fetch in ~676m
[2026-07-06T21:51:21]   Skipping Falkland Islands — next fetch in ~4276m
[2026-07-06T21:51:21]   Skipping Nasa — next fetch in ~676m
[2026-07-06T21:51:21]   Skipping ESA — next fetch in ~676m
[2026-07-06T21:51:21]   Skipping AstronomyNow (News) — next fetch in ~676m
[2026-07-06T21:51:21]   Skipping SpaceNews (News) — next fetch in ~676m
[2026-07-06T21:51:21]   Skipping TechCrunch — next fetch in ~676m
[2026-07-06T21:52:03]   Skipping Pakistan Recorder — next fetch in ~664m
[2026-07-06T21:52:04]   Skipping India - The Hindu — next fetch in ~665m
[2026-07-06T21:52:04]   Skipping FT - China Economy — next fetch in ~666m
[2026-07-06T21:52:04]   Skipping China Economic Review — next fetch in ~667m
[2026-07-06T21:52:04]   Skipping The Liberty Times — next fetch in ~674m
[2026-07-06T21:52:04]   Skipping FT Global Trade — next fetch in ~664m
[2026-07-06T21:52:04]   Skipping Global Trade Magazine — next fetch in ~664m
[2026-07-06T21:52:04]   Skipping The Conversation - Trade — next fetch in ~664m
[2026-07-06T21:52:04]   Skipping DefenceNews — next fetch in ~664m
[2026-07-06T21:52:04]   Skipping DefenceIQ-MarketResearch — next fetch in ~664m
[2026-07-06T21:52:04]   Skipping DefenceIQ-Reports — next fetch in ~664m
[2026-07-06T21:52:05]   Skipping DefenceIQ-AirDefence — next fetch in ~665m
[2026-07-06T21:52:05]   Skipping DefenceTalk-AirDefence — next fetch in ~665m
[2026-07-06T21:52:05]   Skipping DefenceIQ-Articles — next fetch in ~665m
[2026-07-06T21:52:05]   Skipping JanesNews — next fetch in ~665m
[2026-07-06T21:52:05]   Skipping Raytheon — next fetch in ~666m
[2026-07-06T21:52:05]   Skipping Netherlands — next fetch in ~666m
[2026-07-06T21:52:05]   Skipping Estonia — next fetch in ~666m
[2026-07-06T21:52:05]   Skipping UK — next fetch in ~666m
[2026-07-06T21:52:05]   Skipping Lithuania — next fetch in ~666m
[2026-07-06T21:52:05]   Skipping Sweden — next fetch in ~666m
[2026-07-06T21:52:06]   Skipping Serbia — next fetch in ~670m
[2026-07-06T21:52:06]   Skipping Slovakia — next fetch in ~670m
[2026-07-06T21:52:06]   Skipping EU Commision — next fetch in ~670m
[2026-07-06T21:52:06]   Skipping Germany — next fetch in ~671m
[2026-07-06T21:52:06]   Skipping UN Global News — next fetch in ~671m
[2026-07-06T21:52:06]   Skipping BBC World News — next fetch in ~671m
[2026-07-06T21:52:06]   Skipping Sky News World — next fetch in ~671m
[2026-07-06T21:52:06]   Skipping UK MOD — next fetch in ~671m
[2026-07-06T21:52:06]   Skipping Australia ABC News — next fetch in ~675m
[2026-07-06T21:52:06]   Skipping Falkland Islands — next fetch in ~4275m
[2026-07-06T21:52:07]   Skipping Nasa — next fetch in ~676m
[2026-07-06T21:52:07]   Skipping ESA — next fetch in ~676m
[2026-07-06T21:52:07]   Skipping AstronomyNow (News) — next fetch in ~676m
[2026-07-06T21:52:07]   Skipping SpaceNews (News) — next fetch in ~676m
[2026-07-06T21:52:07]   Skipping TechCrunch — next fetch in ~676m
[2026-07-06T21:52:09]   Skipping Pakistan Recorder — next fetch in ~664m
[2026-07-06T21:52:09]   Skipping India - The Hindu — next fetch in ~665m
[2026-07-06T21:52:09]   Skipping FT - China Economy — next fetch in ~666m
[2026-07-06T21:52:09]   Skipping China Economic Review — next fetch in ~667m
[2026-07-06T21:52:09]   Skipping The Liberty Times — next fetch in ~674m
[2026-07-06T21:52:09]   Skipping FT Global Trade — next fetch in ~664m
[2026-07-06T21:52:09]   Skipping Global Trade Magazine — next fetch in ~664m
[2026-07-06T21:52:09]   Skipping The Conversation - Trade — next fetch in ~664m
[2026-07-06T21:52:09]   Skipping Netherlands — next fetch in ~666m
[2026-07-06T21:52:10]   Skipping Estonia — next fetch in ~666m
[2026-07-06T21:52:10]   Skipping UK — next fetch in ~666m
[2026-07-06T21:52:10]   Skipping Lithuania — next fetch in ~666m
[2026-07-06T21:52:10]   Skipping Sweden — next fetch in ~666m
[2026-07-06T21:52:10]   Skipping Serbia — next fetch in ~670m
[2026-07-06T21:52:10]   Skipping Slovakia — next fetch in ~670m
[2026-07-06T21:52:10]   Skipping EU Commision — next fetch in ~670m
[2026-07-06T21:52:10]   Skipping Germany — next fetch in ~670m
[2026-07-06T21:52:10]   Skipping UN Global News — next fetch in ~671m
[2026-07-06T21:52:10]   Skipping BBC World News — next fetch in ~671m
[2026-07-06T21:52:11]   Skipping Sky News World — next fetch in ~671m
[2026-07-06T21:52:11]   Skipping UK MOD — next fetch in ~671m
[2026-07-06T21:52:11]   Skipping Australia ABC News — next fetch in ~675m
[2026-07-06T21:52:11]   Skipping Falkland Islands — next fetch in ~4275m
[2026-07-06T21:52:11]   Skipping Nasa — next fetch in ~675m
[2026-07-06T21:52:11]   Skipping ESA — next fetch in ~675m
[2026-07-06T21:52:11]   Skipping AstronomyNow (News) — next fetch in ~675m
[2026-07-06T21:52:11]   Skipping SpaceNews (News) — next fetch in ~676m
[2026-07-06T21:52:11]   Skipping TechCrunch — next fetch in ~676m
[2026-07-06T21:52:24]   Skipping Pakistan Recorder — next fetch in ~663m
[2026-07-06T21:52:25]   Skipping India - The Hindu — next fetch in ~665m
[2026-07-06T21:52:25]   Skipping FT - China Economy — next fetch in ~666m
[2026-07-06T21:52:25]   Skipping China Economic Review — next fetch in ~667m
[2026-07-06T21:52:25]   Skipping The Liberty Times — next fetch in ~673m
[2026-07-06T21:52:25]   Skipping FT Global Trade — next fetch in ~663m
[2026-07-06T21:52:25]   Skipping Global Trade Magazine — next fetch in ~664m
[2026-07-06T21:52:25]   Skipping The Conversation - Trade — next fetch in ~664m
[2026-07-06T21:52:25]   Skipping DefenceNews — next fetch in ~664m
[2026-07-06T21:52:25]   Skipping DefenceIQ-MarketResearch — next fetch in ~664m
[2026-07-06T21:52:25]   Skipping DefenceIQ-Reports — next fetch in ~664m
[2026-07-06T21:52:26]   Skipping DefenceIQ-AirDefence — next fetch in ~664m
[2026-07-06T21:52:26]   Skipping DefenceTalk-AirDefence — next fetch in ~664m
[2026-07-06T21:52:26]   Skipping DefenceIQ-Articles — next fetch in ~665m
[2026-07-06T21:52:26]   Skipping JanesNews — next fetch in ~665m
[2026-07-06T21:52:26]   Skipping Raytheon — next fetch in ~665m
[2026-07-06T21:52:26]   Skipping Netherlands — next fetch in ~666m
[2026-07-06T21:52:26]   Skipping Estonia — next fetch in ~666m
[2026-07-06T21:52:26]   Skipping UK — next fetch in ~666m
[2026-07-06T21:52:26]   Skipping Lithuania — next fetch in ~666m
[2026-07-06T21:52:26]   Skipping Sweden — next fetch in ~666m
[2026-07-06T21:52:27]   Skipping Serbia — next fetch in ~670m
[2026-07-06T21:52:27]   Skipping Slovakia — next fetch in ~670m
[2026-07-06T21:52:27]   Skipping EU Commision — next fetch in ~670m
[2026-07-06T21:52:27]   Skipping Germany — next fetch in ~670m
[2026-07-06T21:52:27]   Skipping UN Global News — next fetch in ~670m
[2026-07-06T21:52:27]   Skipping BBC World News — next fetch in ~671m
[2026-07-06T21:52:27]   Skipping Sky News World — next fetch in ~671m
[2026-07-06T21:52:27]   Skipping UK MOD — next fetch in ~671m
[2026-07-06T21:52:27]   Skipping Australia ABC News — next fetch in ~675m
[2026-07-06T21:52:27]   Skipping Falkland Islands — next fetch in ~4274m
[2026-07-06T21:52:27]   Skipping Nasa — next fetch in ~675m
[2026-07-06T21:52:28]   Skipping ESA — next fetch in ~675m
[2026-07-06T21:52:28]   Skipping AstronomyNow (News) — next fetch in ~675m
[2026-07-06T21:52:28]   Skipping SpaceNews (News) — next fetch in ~675m
[2026-07-06T21:52:28]   Skipping TechCrunch — next fetch in ~675m
[2026-07-06T21:52:33]   Skipping Pakistan Recorder — next fetch in ~663m
[2026-07-06T21:52:33]   Skipping India - The Hindu — next fetch in ~664m
[2026-07-06T21:52:33]   Skipping FT - China Economy — next fetch in ~666m
[2026-07-06T21:52:33]   Skipping China Economic Review — next fetch in ~667m
[2026-07-06T21:52:33]   Skipping The Liberty Times — next fetch in ~673m
[2026-07-06T21:52:33]   Skipping FT Global Trade — next fetch in ~663m
[2026-07-06T21:52:33]   Skipping Global Trade Magazine — next fetch in ~664m
[2026-07-06T21:52:33]   Skipping The Conversation - Trade — next fetch in ~664m
[2026-07-06T21:52:33]   Skipping DefenceNews — next fetch in ~664m
[2026-07-06T21:52:33]   Skipping DefenceIQ-MarketResearch — next fetch in ~664m
[2026-07-06T21:52:34]   Skipping DefenceIQ-Reports — next fetch in ~664m
[2026-07-06T21:52:34]   Skipping DefenceIQ-AirDefence — next fetch in ~664m
[2026-07-06T21:52:34]   Skipping DefenceTalk-AirDefence — next fetch in ~664m
[2026-07-06T21:52:34]   Skipping DefenceIQ-Articles — next fetch in ~665m
[2026-07-06T21:52:34]   Skipping JanesNews — next fetch in ~665m
[2026-07-06T21:52:34]   Skipping Raytheon — next fetch in ~665m
[2026-07-06T21:52:34]   Skipping Netherlands — next fetch in ~665m
[2026-07-06T21:52:34]   Skipping Estonia — next fetch in ~665m
[2026-07-06T21:52:34]   Skipping UK — next fetch in ~665m
[2026-07-06T21:52:34]   Skipping Lithuania — next fetch in ~665m
[2026-07-06T21:52:34]   Skipping Sweden — next fetch in ~666m
[2026-07-06T21:52:35]   Skipping Serbia — next fetch in ~670m
[2026-07-06T21:52:35]   Skipping Slovakia — next fetch in ~670m
[2026-07-06T21:52:35]   Skipping EU Commision — next fetch in ~670m
[2026-07-06T21:52:35]   Skipping Germany — next fetch in ~670m
[2026-07-06T21:52:35]   Skipping UN Global News — next fetch in ~670m
[2026-07-06T21:52:35]   Skipping BBC World News — next fetch in ~670m
[2026-07-06T21:52:35]   Skipping Sky News World — next fetch in ~670m
[2026-07-06T21:52:35]   Skipping UK MOD — next fetch in ~670m
[2026-07-06T21:52:35]   Skipping Australia ABC News — next fetch in ~675m
[2026-07-06T21:52:35]   Skipping Falkland Islands — next fetch in ~4274m
[2026-07-06T21:52:36]   Skipping Nasa — next fetch in ~675m
[2026-07-06T21:52:36]   Skipping ESA — next fetch in ~675m
[2026-07-06T21:52:36]   Skipping AstronomyNow (News) — next fetch in ~675m
[2026-07-06T21:52:36]   Skipping SpaceNews (News) — next fetch in ~675m
[2026-07-06T21:52:36]   Skipping TechCrunch — next fetch in ~675m
[2026-07-06T21:53:13]   Skipping Pakistan Recorder — next fetch in ~663m
[2026-07-06T21:53:13]   Skipping India - The Hindu — next fetch in ~664m
[2026-07-06T21:53:13]   Skipping FT - China Economy — next fetch in ~665m
[2026-07-06T21:53:14]   Skipping China Economic Review — next fetch in ~666m
[2026-07-06T21:53:14]   Skipping The Liberty Times — next fetch in ~672m
[2026-07-06T21:53:14]   Skipping FT Global Trade — next fetch in ~663m
[2026-07-06T21:53:14]   Skipping Global Trade Magazine — next fetch in ~663m
[2026-07-06T21:53:14]   Skipping The Conversation - Trade — next fetch in ~663m
[2026-07-06T21:53:14]   Skipping DefenceNews — next fetch in ~663m
[2026-07-06T21:53:14]   Skipping DefenceIQ-MarketResearch — next fetch in ~663m
[2026-07-06T21:53:14]   Skipping DefenceIQ-Reports — next fetch in ~663m
[2026-07-06T21:53:14]   Skipping DefenceIQ-AirDefence — next fetch in ~663m
[2026-07-06T21:53:14]   Skipping DefenceTalk-AirDefence — next fetch in ~664m
[2026-07-06T21:53:15]   Skipping DefenceIQ-Articles — next fetch in ~664m
[2026-07-06T21:53:15]   Skipping JanesNews — next fetch in ~664m
[2026-07-06T21:53:15]   Skipping Raytheon — next fetch in ~665m
[2026-07-06T21:53:15]   Skipping Netherlands — next fetch in ~665m
[2026-07-06T21:53:15]   Skipping Estonia — next fetch in ~665m
[2026-07-06T21:53:15]   Skipping UK — next fetch in ~665m
[2026-07-06T21:53:15]   Skipping Lithuania — next fetch in ~665m
[2026-07-06T21:53:15]   Skipping Sweden — next fetch in ~665m
[2026-07-06T21:53:15]   Skipping Serbia — next fetch in ~669m
[2026-07-06T21:53:15]   Skipping Slovakia — next fetch in ~669m
[2026-07-06T21:53:16]   Skipping EU Commision — next fetch in ~669m
[2026-07-06T21:53:16]   Skipping Germany — next fetch in ~669m
[2026-07-06T21:53:16]   Skipping UN Global News — next fetch in ~670m
[2026-07-06T21:53:16]   Skipping BBC World News — next fetch in ~670m
[2026-07-06T21:53:16]   Skipping Sky News World — next fetch in ~670m
[2026-07-06T21:53:16]   Skipping UK MOD — next fetch in ~670m
[2026-07-06T21:53:16]   Skipping Australia ABC News — next fetch in ~674m
[2026-07-06T21:53:16]   Skipping Falkland Islands — next fetch in ~4274m
[2026-07-06T21:53:16]   Skipping Nasa — next fetch in ~674m
[2026-07-06T21:53:17]   Skipping ESA — next fetch in ~674m
[2026-07-06T21:53:17]   Skipping AstronomyNow (News) — next fetch in ~674m
[2026-07-06T21:53:17]   Skipping SpaceNews (News) — next fetch in ~674m
[2026-07-06T21:53:17]   Skipping TechCrunch — next fetch in ~674m
[2026-07-06T21:53:21]   Skipping Pakistan Recorder — next fetch in ~662m
[2026-07-06T21:53:21]   Skipping India - The Hindu — next fetch in ~664m
[2026-07-06T21:53:21]   Skipping FT - China Economy — next fetch in ~665m
[2026-07-06T21:53:21]   Skipping China Economic Review — next fetch in ~666m
[2026-07-06T21:53:21]   Skipping The Liberty Times — next fetch in ~672m
[2026-07-06T21:53:21]   Skipping FT Global Trade — next fetch in ~662m
[2026-07-06T21:53:22]   Skipping Global Trade Magazine — next fetch in ~663m
[2026-07-06T21:53:22]   Skipping The Conversation - Trade — next fetch in ~663m
[2026-07-06T21:53:22]   Skipping DefenceNews — next fetch in ~663m
[2026-07-06T21:53:22]   Skipping DefenceIQ-MarketResearch — next fetch in ~663m
